msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02002982,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ST48HH,52.96839,-2.167808,2020-06-30,2024-06-30
E02005598,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR47UY,52.617567,1.221195,2020-06-30,2024-06-30
E02001177,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,M68HD,53.487545,-2.323424,2020-06-30,2024-06-30
E02001012,RMC,BOLTON NHS FOUNDATION TRUST,BL40JR,53.553957,-2.429894,2020-06-30,2024-06-30
E02001235,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,OL69RW,53.49153,-2.071433,2020-06-30,2024-06-30
E02005596,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,NR12DH,52.615176,1.307646,2020-06-30,2024-06-30
E02003219,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,SN36BB,51.538528,-1.7272,2020-06-30,2024-06-30
E02004684,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,RG249NA,51.280633,-1.109918,2020-06-30,2024-06-30
E02005035,RN7,DARTFORD AND GRAVESHAM NHS TRUST,DA28DA,51.434952,0.258645,2020-06-30,2024-06-30
E02002012,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,DY12HQ,52.502944,-2.118518,2020-06-30,2024-06-30
E02003994,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,CA27HY,54.896504,-2.957796,2020-06-30,2024-06-30
E02005645,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NN168UZ,52.402783,-0.741293,2020-06-30,2024-06-30
E02005674,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NN15BD,52.236068,-0.883829,2020-06-30,2024-06-30
E02005949,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,OX37JX,51.750841,-1.22232,2020-06-30,2024-06-30
E02006672,RNZ,SALISBURY NHS FOUNDATION TRUST,SP28BJ,51.043946,-1.789823,2020-06-30,2024-06-30
E02005647,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,NN157PW,52.3941,-0.7222,2020-06-30,2024-06-30
E02000192,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,WC1N3JH,51.52221,-0.119924,2020-06-30,2024-06-30
E02001556,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,DN25LT,53.530805,-1.108942,2020-06-30,2024-06-30
E02000576,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,EC1V2PD,51.527246,-0.089889,2020-06-30,2024-06-30
E02005444,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,LN11FS,53.244029,-0.556905,2020-06-30,2024-06-30
E02003325,RPA,MEDWAY NHS FOUNDATION TRUST,ME75NY,51.379862,0.542062,2020-06-30,2024-06-30
E02006604,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,RH193DZ,51.135073,-0.0029,2020-06-30,2024-06-30
E02005037,RPG,OXLEAS NHS FOUNDATION TRUST,DA27WG,51.434795,0.174741,2020-06-30,2024-06-30
E02000595,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,SW36JJ,51.490561,-0.172565,2020-06-30,2024-06-30
E02001876,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,B46NH,52.484784,-1.893808,2020-06-30,2024-06-30
E02000596,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,SW109NH,51.484308,-0.181644,2020-06-30,2024-06-30
E02004547,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,CM201QX,51.771529,0.085457,2020-06-30,2024-06-30
E02000363,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,E96SR,51.550634,-0.046099,2020-06-30,2024-06-30
E02000949,RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,SW177DJ,51.437358,-0.172348,2020-06-30,2024-06-30
E02001697,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NE96SX,54.93938,-1.580781,2020-06-30,2024-06-30
E02002393,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,LS97TF,53.806869,-1.520359,2020-06-30,2024-06-30
E02006196,RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,ST163SR,52.810605,-2.109085,2020-06-30,2024-06-30
E02001292,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",WN12NN,53.55774,-2.629091,2020-06-30,2024-06-30
E02001939,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,B312AP,52.420088,-1.96116,2020-06-30,2024-06-30
E02001913,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,B152GW,52.453198,-1.93847,2020-06-30,2024-06-30
E02000423,RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",N153TH,51.580625,-0.092097,2020-06-30,2024-06-30
E02000186,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NW12PG,51.525735,-0.137409,2020-06-30,2024-06-30
E02003785,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,CB215EF,52.184505,0.188329,2020-06-30,2024-06-30
E02001241,RT2,PENNINE CARE NHS FOUNDATION TRUST,OL67SR,53.485827,-2.099981,2020-06-30,2024-06-30
E02000595,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,SW36NP,51.489743,-0.170855,2020-06-30,2020-12-31
E02001714,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NE77DN,55.002783,-1.593392,2020-06-30,2024-06-30
E02004608,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,GL537AN,51.89212,-2.071883,2020-06-30,2024-06-30
E02001750,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NE298NH,55.025241,-1.46734,2020-06-30,2024-06-30
E02002812,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,DE223NE,52.910425,-1.513523,2020-06-30,2024-06-30
E02005945,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OX39DU,51.763867,-1.219773,2020-06-30,2024-06-30
E02006400,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,KT160PZ,51.377832,-0.52706,2020-06-30,2024-06-30
E02006388,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,RH15RH,51.219194,-0.162009,2020-06-30,2024-06-30
E02004674,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,GL34AW,51.84708,-2.176384,2020-06-30,2024-06-30
E02002506,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,TS43BW,54.551755,-1.214805,2020-06-30,2024-06-30
E02002592,RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,WA28WA,53.429516,-2.606862,2020-06-30,2021-06-30
E02004020,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,LA97RG,54.306116,-2.731605,2020-06-30,2024-06-30
E02000186,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,NW13AX,51.524345,-0.142166,2020-06-30,2024-06-30
E02002705,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,HU106FE,53.771067,-0.447309,2020-06-30,2024-06-30
E02003015,RVJ,NORTH BRISTOL NHS TRUST,BS105NB,51.494806,-2.591016,2020-06-30,2024-06-30
E02002992,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,BA13QE,51.388604,-2.392313,2020-06-30,2024-06-30
E02000841,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,SM51AA,51.380188,-0.183708,2020-06-30,2024-06-30
E02005025,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,CT13NG,51.266589,1.087083,2020-06-30,2024-06-30
E02002484,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,TS249AH,54.702398,-1.227837,2020-06-30,2024-06-30
E02001436,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,PR86PN,53.63357,-2.97882,2020-06-30,2023-06-30
E02004784,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SO402RZ,50.9313,-1.530052,2020-06-30,2024-06-30
E02001337,RW4,MERSEY CARE NHS FOUNDATION TRUST,L341PJ,53.424035,-2.826417,2020-06-30,2024-06-30
E02005294,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,PR56AW,53.719431,-2.63894,2020-06-30,2024-06-30
E02001050,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,M85RB,53.517882,-2.229502,2020-06-30,2021-06-30
E02002675,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,HU32JZ,53.744113,-0.358146,2020-06-30,2024-06-30
E02005444,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,LN25QY,53.233575,-0.519635,2020-06-30,2024-06-30
E02006850,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,LE15WW,52.6268,-1.135953,2020-06-30,2024-06-30
E02005075,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ME169QQ,51.273662,0.483974,2020-06-30,2024-06-30
E02004977,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,WD180HB,51.648921,-0.404187,2020-06-30,2024-06-30
E02004945,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,SG14AB,51.924611,-0.212726,2020-06-30,2024-06-30
E02001213,RWJ,STOCKPORT NHS FOUNDATION TRUST,SK27JE,53.383778,-2.13202,2020-06-30,2024-06-30
E02000884,RWK,EAST LONDON NHS FOUNDATION TRUST,E18DE,51.513374,-0.071865,2020-06-30,2024-06-30
E02006743,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WR51DD,52.191193,-2.181158,2020-06-30,2024-06-30
E02004990,RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,AL108YE,51.766985,-0.216688,2020-06-30,2024-06-30
E02004161,RWV,DEVON PARTNERSHIP NHS TRUST,EX25AF,50.715395,-3.506298,2020-06-30,2024-06-30
E02002602,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,WA51QG,53.393973,-2.610717,2020-06-30,2024-06-30
E02003357,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,RG122UT,51.416178,-0.740213,2020-06-30,2024-06-30
E02002303,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,HD33EA,53.655474,-1.816338,2020-06-30,2024-06-30
E02002898,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NG72UH,52.943799,-1.185957,2020-06-30,2024-06-30
E02006621,RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,BN133EP,50.84121,-0.411162,2020-06-30,2024-06-30
E02002559,RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",DL22TS,54.543494,-1.591147,2020-06-30,2024-06-30
E02001713,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",NE33XT,55.006488,-1.6331,2020-06-30,2024-06-30
E02003797,RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,CH21BQ,53.211544,-2.898825,2020-06-30,2024-06-30
E02004368,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,TN377PT,50.88769,0.561978,2020-06-30,2024-06-30
E02001566,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,DN48QN,53.494823,-1.145978,2020-06-30,2024-06-30
E02002454,RXF,MID YORKSHIRE TEACHING NHS TRUST,WF14DG,53.692418,-1.488555,2020-06-30,2024-06-30
E02002443,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,WF13SP,53.69734,-1.494054,2020-06-30,2024-06-30
E02003521,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,BN25BE,50.819468,-0.118177,2020-06-30,2021-03-31
E02001879,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,B187QH,52.488627,-1.932507,2020-06-30,2024-06-30
E02002641,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,FY38NR,53.820675,-3.016275,2020-06-30,2024-06-30
E02002812,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,DE223LZ,52.91807,-1.512351,2020-06-30,2024-06-30
E02005256,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PR29HT,53.791521,-2.706842,2020-06-30,2024-06-30
E02007058,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,DL36HX,54.530374,-1.563733,2020-06-30,2024-06-30
E02003682,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HP70JD,51.663005,-0.621408,2020-06-30,2024-06-30
E02002625,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,BB23HH,53.73556,-2.462716,2020-06-30,2024-06-30
E02001914,RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,B138QY,52.440919,-1.897096,2020-06-30,2024-06-30
E02001040,RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,M253BL,53.536749,-2.291465,2021-06-30,2024-06-30
E02006034,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SY38XQ,52.709274,-2.793689,2020-06-30,2024-06-30
E02006364,RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,KT227AD,51.297591,-0.335629,2020-06-30,2024-06-30
E02005075,RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,ME169PH,51.273212,0.485699,2020-06-30,2024-06-30
E02005589,RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,NR23TU,52.633947,1.262489,2020-06-30,2024-06-30
E02005447,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,LN57JH,53.226467,-0.52415,2020-06-30,2022-09-30
E02002422,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,LS110DL,53.762746,-1.575641,2020-06-30,2024-06-30
E02004112,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,S427JE,53.23967,-1.479477,2020-06-30,2024-06-30
E02001958,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,CV66NY,52.457137,-1.486518,2020-06-30,2024-06-30
E02000974,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,W21BL,51.51754,-0.174411,2020-06-30,2024-06-30
E02006631,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,BN112DH,50.816691,-0.363429,2020-06-30,2024-06-30
