Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Maidstone,59,155,23,39,282,*,3,E00186663,E02005071
Manchester,63,73,35,*,451,*,*,E00175942,E02006915
Moorland,103,56,35,*,712,1,*,E00172382,E02001546
Mount,132,219,71,27,565,10,4,E00189378,E02004876
New Hall,17,*,13,*,293,1,*,E00168748,E02002472
North Sea Camp,15,28,*,*,256,1,*,E00185354,E02005417
Northumberland,31,14,10,6,1258,1,*,E00190044,E02005720
Norwich,14,49,28,*,614,2,*,E00187940,E02005587
Nottingham,79,105,62,5,593,1,4,E00173486,E02002874
Oakwood,281,261,98,22,1392,1,3,E00171615,E02006179
Onley,61,263,64,20,301,6,6,E00169204,E02005621
Parc,83,105,65,18,1353,1,*,W00010385,W02000228
Pentonville,162,343,77,35,381,53,*,E00013494,E02000568
Peterborough (Female),11,19,16,7,263,1,*,E00187639,E02003246
Peterborough (Male),35,97,53,8,635,2,3,E00187639,E02003246
Portland,14,69,40,*,382,*,*,E00171471,E02004288
Prescoed,14,12,12,*,197,*,*,W00008311,W02000341
Preston,70,14,12,10,569,4,*,E00181968,E02005266
Ranby,92,102,73,*,700,*,*,E00142851,E02005837
Risley,77,58,32,19,747,3,*,E00188925,E02002590
Rochester,18,81,29,6,541,2,3,E00167420,E02003337
Rye Hill,53,38,14,5,502,*,*,E00169203,E02005621
Send,12,26,*,*,123,1,*,E00155365,E02006344
Stafford,42,27,*,6,620,9,*,E00179354,E02006196
Standford Hill (Sheppey cluster),42,109,37,6,260,*,*,E00124937,E02005120
Stocken,99,168,54,14,679,*,*,E00172628,E02002863
Stoke Heath,77,81,45,*,494,*,*,E00187256,E02006020
Styal,6,*,18,*,340,*,*,E00174371,E02003859
Sudbury,114,89,35,4,310,*,3,E00174335,E02004077
Swaleside (Sheppey cluster),67,260,54,23,554,4,9,E00124937,E02005120
Swansea,7,10,9,9,312,*,*,W00003997,W02000192
Swinfen Hall,68,131,58,*,284,*,*,E00180753,E02006157
Thameside,122,413,90,123,456,*,5,E00008406,E02000314
Thorn Cross,27,19,*,*,270,1,*,E00062779,E02002613
Usk,5,*,*,*,217,*,*,W00008311,W02000341
Wakefield,73,51,22,5,555,*,*,E00179981,E02002456
Wandsworth,99,279,104,64,807,*,*,E00183128,E02000946
Warren Hill,*,20,11,*,219,*,*,E00173886,E02006293
Wayland,82,162,54,9,574,5,3,E00169902,E02005512
Wealstun,127,29,35,*,603,*,*,E00170593,E02002331
Werrington,5,20,19,*,38,*,*,E00151745,E02006212
Wetherby,8,20,14,5,100,*,*,E00059025,E02002331
Whatton,44,52,14,*,682,1,*,E00144559,E02005906
Whitemoor,31,81,18,*,170,1,*,E00187623,E02003746
Winchester,14,48,19,*,371,20,*,E00184857,E02004833
Woodhill,43,125,43,*,284,1,*,E00183648,E02007016
Wormwood Scrubs,150,320,66,53,464,81,4,E00183098,E02000372
Wymott,52,41,24,4,887,*,3,E00170510,E02005195
zzz The Verne IRC/HMP (Aug 18-),41,49,*,9,455,*,*,E00171474,E02004288
