msoa,accommodation type,0-4,5-15,16-17,18-20,21-24,25-29,30+
E02000046,Living alone,0,0,0,0,2,0,14
E02000046,Living in another household type,0,11,1,6,20,26,46
E02000046,all student household,0,0,0,5,11,2,14
E02000046,communal establishment: Other,0,0,0,0,0,0,0
E02000046,communal establishment: University,0,0,0,0,0,0,0
E02000046,parents,0,793,108,67,37,7,2
E02000047,Does not apply,869,3,9,124,502,791,7100
E02000047,Living alone,0,1,0,0,4,3,7
E02000047,Living in another household type,0,45,11,26,38,44,131
E02000047,all student household,0,3,0,4,19,5,20
E02000047,communal establishment: Other,0,0,0,0,0,0,0
E02000047,communal establishment: University,0,0,0,0,0,0,0
E02000047,parents,0,1895,344,249,138,16,5
E02000048,Does not apply,699,3,7,53,335,568,6428
E02000048,Living alone,0,0,0,2,1,2,6
E02000048,Living in another household type,0,12,1,14,18,32,49
E02000048,all student household,0,0,0,7,35,10,8
E02000048,communal establishment: Other,0,0,0,0,0,0,0
E02000048,communal establishment: University,0,0,0,0,0,0,0
E02000048,parents,0,1487,252,148,84,19,7
E02000049,Does not apply,784,2,7,80,409,792,5727
E02000049,Living alone,0,2,0,1,6,6,33
E02000049,Living in another household type,0,30,7,22,18,26,84
E02000049,all student household,0,2,0,12,22,7,17
E02000049,communal establishment: Other,0,0,0,0,0,0,0
E02000049,communal establishment: University,0,0,0,0,0,0,0
E02000049,parents,0,1699,324,257,147,16,4
E02000050,Does not apply,557,5,6,93,372,686,6397
E02000050,Living alone,0,0,0,7,68,2,7
E02000050,Living in another household type,0,15,13,23,24,18,55
E02000050,all student household,0,0,1,13,9,9,10
E02000050,communal establishment: Other,0,0,0,1,0,0,0
E02000050,communal establishment: University,0,0,0,0,0,0,0
E02000050,parents,0,1431,255,204,69,18,4
E02000051,Does not apply,517,3,5,52,318,552,6020
E02000051,Living alone,0,0,0,2,5,5,6
E02000051,Living in another household type,0,12,2,11,19,21,61
E02000051,all student household,0,0,0,6,12,3,5
E02000051,communal establishment: Other,0,0,0,0,0,0,0
E02000051,communal establishment: University,0,0,0,0,0,0,0
E02000051,parents,0,1139,206,113,61,13,1
E02000052,Does not apply,571,2,0,53,263,790,6289
E02000052,Living alone,0,1,0,1,1,1,6
E02000052,Living in another household type,0,9,2,5,32,38,67
E02000052,all student household,0,0,0,5,7,3,17
E02000052,communal establishment: Other,0,0,0,0,0,0,0
E02000052,communal establishment: University,0,0,0,0,0,0,0
E02000052,parents,0,1302,213,114,47,13,2
E02000054,Does not apply,429,2,2,50,293,624,4576
E02000054,Living alone,0,0,0,6,13,10,8
E02000054,Living in another household type,0,9,2,16,53,45,54
E02000054,all student household,0,0,1,41,80,18,10
E02000054,communal establishment: Other,0,0,0,0,0,0,0
E02000054,communal establishment: University,0,0,0,0,0,0,0
E02000054,parents,0,968,132,126,61,4,1
E02000055,Does not apply,694,4,7,97,498,1010,6518
E02000055,Living alone,0,0,1,11,21,18,20
E02000055,Living in another household type,0,15,3,25,142,62,106
E02000055,all student household,0,1,4,101,164,15,25
E02000055,communal establishment: Other,0,0,0,0,0,0,4
E02000055,communal establishment: University,0,0,2,49,21,7,4
E02000055,parents,0,1514,235,201,89,20,7
E02000056,Does not apply,496,2,2,42,230,447,5922
E02000056,Living alone,0,0,0,2,5,4,3
E02000056,Living in another household type,0,4,0,6,10,9,41
E02000056,all student household,0,0,0,5,10,3,1
E02000056,communal establishment: Other,0,0,0,0,0,0,0
E02000056,communal establishment: University,0,0,0,0,0,0,0
E02000056,parents,0,1423,246,144,70,10,1
E02000057,Does not apply,671,3,2,84,332,607,4179
E02000057,Living alone,0,0,0,5,7,7,7
E02000057,Living in another household type,0,9,5,15,92,44,35
E02000057,all student household,0,0,0,41,50,15,13
E02000057,communal establishment: Other,0,0,0,0,0,0,0
E02000057,communal establishment: University,0,0,0,0,0,0,0
E02000057,parents,0,1398,188,126,68,17,4
E02000058,Does not apply,715,2,4,71,327,623,6266
E02000058,Living alone,0,0,0,4,8,55,10
E02000058,Living in another household type,0,10,3,7,32,28,45
E02000058,all student household,0,2,0,3,6,8,6
E02000058,communal establishment: Other,0,0,0,0,0,0,0
E02000058,communal establishment: University,0,0,0,0,0,0,0
E02000058,parents,0,1538,205,150,71,13,5
E02000059,Does not apply,740,1,6,86,451,950,7268
E02000059,Living alone,0,0,1,5,9,6,13
E02000059,Living in another household type,0,24,9,34,46,85,107
E02000059,all student household,0,1,1,20,32,12,13
E02000059,communal establishment: Other,0,0,0,0,0,0,0
E02000059,communal establishment: University,0,0,0,0,0,0,0
E02000059,parents,0,1237,198,159,91,15,5
E02000060,Does not apply,1152,2,2,156,431,809,5800
E02000060,Living alone,0,0,0,1,4,4,12
E02000060,Living in another household type,0,19,2,10,34,57,36
E02000060,all student household,0,0,0,10,21,6,11
E02000060,communal establishment: Other,0,0,0,0,0,0,0
E02000060,communal establishment: University,0,0,0,0,0,0,0
E02000060,parents,0,2390,301,180,76,16,4
E02000061,Does not apply,410,0,2,43,294,612,5291
E02000061,Living alone,0,0,0,6,4,11,72
E02000061,Living in another household type,0,7,8,7,55,33,70
E02000061,all student household,0,0,1,10,20,12,10
E02000061,communal establishment: Other,0,0,0,1,0,0,0
E02000061,communal establishment: University,0,0,0,0,0,0,0
E02000061,parents,0,1038,157,115,49,5,5
E02000062,Does not apply,418,1,5,67,308,494,4039
E02000062,Living alone,0,0,0,4,0,6,10
E02000062,Living in another household type,0,12,8,12,27,28,57
E02000062,all student household,0,0,0,5,6,2,11
E02000062,communal establishment: Other,0,0,1,10,1,0,0
E02000062,communal establishment: University,0,0,0,0,0,0,0
E02000062,parents,0,1058,160,115,75,12,3
E02000063,Does not apply,443,4,6,35,281,563,4598
E02000063,Living alone,0,0,0,4,2,1,21
E02000063,Living in another household type,0,14,5,12,17,23,44
E02000063,all student household,0,1,1,6,8,8,7
E02000063,communal establishment: Other,0,0,0,0,0,0,1
E02000063,communal establishment: University,0,0,0,0,0,0,0
E02000063,parents,0,1035,190,148,93,12,4
E02000064,Does not apply,444,1,2,55,219,537,3961
E02000064,Living alone,0,0,0,2,5,2,7
E02000064,Living in another household type,0,7,4,10,26,22,33
E02000064,all student household,0,0,0,5,37,26,8
E02000064,communal establishment: Other,0,0,0,0,0,0,0
E02000064,communal establishment: University,0,0,0,36,26,9,5
E02000064,parents,0,878,135,106,51,3,1
E02000065,Does not apply,545,2,11,90,271,443,4326
E02000065,Living alone,0,0,0,1,1,1,15
E02000065,Living in another household type,0,33,5,8,17,20,138
E02000065,all student household,0,0,0,0,1,1,45
E02000065,communal establishment: Other,0,0,0,0,0,0,1
E02000065,communal establishment: University,0,0,0,0,0,0,0
E02000065,parents,0,1538,257,183,81,21,8
E02000066,Does not apply,575,2,12,146,364,583,5350
E02000066,Living alone,0,0,0,1,3,1,15
E02000066,Living in another household type,0,32,12,10,13,12,110
E02000066,all student household,0,0,0,0,8,2,41
E02000066,communal establishment: Other,0,0,0,0,0,0,0
E02000066,communal establishment: University,0,0,0,0,0,0,0
E02000066,parents,0,1569,261,186,86,29,5
E02000067,Does not apply,758,5,17,141,392,759,5923
E02000067,Living alone,0,0,0,1,3,5,10
E02000067,Living in another household type,0,25,9,15,28,16,115
E02000067,all student household,0,0,0,4,1,5,24
E02000067,communal establishment: Other,0,1,0,0,0,0,0
E02000067,communal establishment: University,0,0,0,0,0,0,0
E02000067,parents,0,1532,232,138,49,12,3
E02000068,Does not apply,689,3,21,123,329,552,4473
E02000068,Living alone,0,0,0,0,1,2,7
E02000068,Living in another household type,0,8,10,7,24,19,79
E02000068,all student household,0,0,0,1,2,1,23
E02000068,communal establishment: Other,0,0,0,0,0,0,0
E02000068,communal establishment: University,0,0,0,0,0,0,0
E02000068,parents,0,1444,179,107,51,6,1
E02000069,Does not apply,503,5,7,108,248,495,4453
E02000069,Living alone,0,0,0,0,2,1,4
E02000069,Living in another household type,0,19,4,10,12,6,38
E02000069,all student household,0,1,1,1,2,0,5
E02000069,communal establishment: Other,0,0,0,0,0,0,1
E02000069,communal establishment: University,0,0,0,0,0,0,0
E02000069,parents,0,1006,131,85,47,8,0
E02000070,Does not apply,474,1,10,119,273,418,5325
E02000070,Living alone,0,0,0,0,3,0,4
E02000070,Living in another household type,0,14,0,9,13,8,39
E02000070,all student household,0,0,0,0,0,2,12
E02000070,communal establishment: Other,0,0,0,0,0,0,0
E02000070,communal establishment: University,0,0,0,0,0,0,0
E02000070,parents,0,1074,163,99,40,11,1
E02000071,Does not apply,458,4,24,130,308,438,4673
E02000071,Living alone,0,0,0,2,3,1,3
E02000071,Living in another household type,0,19,6,7,12,2,24
E02000071,all student household,0,0,0,0,0,0,3
E02000071,communal establishment: Other,0,0,0,0,0,0,0
E02000071,communal establishment: University,0,0,0,0,0,0,0
E02000071,parents,0,1212,205,108,36,4,0
E02000072,Does not apply,1013,4,30,218,544,848,6955
E02000072,Living alone,0,0,0,5,1,1,13
E02000072,Living in another household type,0,35,7,11,7,20,124
E02000072,all student household,0,0,1,8,10,2,43
E02000072,communal establishment: Other,0,0,0,1,1,0,0
E02000072,communal establishment: University,0,0,0,0,0,0,0
E02000072,parents,0,2384,357,186,77,15,4
E02000073,Does not apply,588,2,13,174,414,521,7054
E02000073,Living alone,0,0,0,0,0,0,2
E02000073,Living in another household type,0,20,5,9,7,4,32
E02000073,all student household,0,0,0,0,0,0,5
E02000073,communal establishment: Other,0,0,0,0,0,0,0
E02000073,communal establishment: University,0,0,0,0,0,0,0
E02000073,parents,0,1417,243,141,64,8,1
E02000074,Does not apply,561,6,12,146,322,583,5280
E02000074,Living alone,0,0,0,0,0,2,10
E02000074,Living in another household type,0,15,16,6,9,7,66
E02000074,all student household,0,0,0,2,1,0,14
E02000074,communal establishment: Other,0,0,0,0,0,0,1
E02000074,communal establishment: University,0,0,0,0,0,0,0
E02000074,parents,0,1423,200,120,50,8,1
E02000075,Does not apply,374,1,12,135,268,366,5475
E02000075,Living alone,0,0,0,1,1,0,2
E02000075,Living in another household type,0,6,3,5,6,3,18
E02000075,all student household,0,0,1,8,15,0,5
E02000075,communal establishment: Other,0,0,0,0,0,0,0
E02000075,communal establishment: University,0,0,0,0,0,0,0
E02000075,parents,0,1002,153,86,34,1,3
E02000077,Does not apply,467,0,10,121,316,452,5209
E02000077,Living alone,0,1,0,0,1,0,2
E02000077,Living in another household type,0,10,6,5,6,9,38
E02000077,all student household,0,0,0,0,0,0,1
E02000077,communal establishment: Other,0,0,0,0,0,0,0
E02000077,communal establishment: University,0,0,0,0,0,0,0
E02000077,parents,0,1086,209,135,47,5,0
E02000078,Does not apply,504,3,9,122,290,442,5210
E02000078,Living alone,0,0,0,0,1,1,0
E02000078,Living in another household type,0,16,5,2,6,8,16
E02000078,all student household,0,0,0,0,0,0,4
E02000078,communal establishment: Other,0,0,0,0,0,0,0
E02000078,communal establishment: University,0,0,0,0,0,0,0
E02000078,parents,0,1021,167,79,28,4,0
E02000079,Does not apply,519,1,5,99,319,541,5776
E02000079,Living alone,0,0,0,0,0,1,1
E02000079,Living in another household type,0,8,2,5,9,9,27
E02000079,all student household,0,0,1,5,10,0,7
E02000079,communal establishment: Other,0,0,0,1,0,0,0
E02000079,communal establishment: University,0,0,0,0,0,0,0
E02000079,parents,0,1144,154,93,22,5,2
E02000080,Does not apply,564,5,12,160,338,580,6516
E02000080,Living alone,0,0,0,3,0,6,4
E02000080,Living in another household type,0,18,3,8,7,16,33
E02000080,all student household,0,0,15,4,5,0,9
E02000080,communal establishment: Other,0,0,0,0,0,0,0
E02000080,communal establishment: University,0,0,0,0,0,0,0
E02000080,parents,0,1398,204,110,55,2,5
E02000081,Does not apply,512,1,20,107,289,401,5416
E02000081,Living alone,0,0,0,0,1,1,7
E02000081,Living in another household type,0,11,4,7,4,3,23
E02000081,all student household,0,0,0,1,7,0,4
E02000081,communal establishment: Other,0,0,0,0,0,0,0
E02000081,communal establishment: University,0,0,0,0,0,0,0
E02000081,parents,0,1162,175,94,40,6,0
E02000082,Does not apply,562,1,15,132,359,505,5992
E02000082,Living alone,0,0,0,2,1,0,1
E02000082,Living in another household type,0,16,4,2,7,6,35
E02000082,all student household,0,0,1,17,7,2,3
